광물자원가격_철_주간,,,,,
2025-02-15,,,,,
기준일,기준가격,최저가,최고가,전일대비등락가,전일대비등락비율
20250210,105.48,0,0,0.26,0.25
20250203,105.22,0,0,-0.05,-0.05
20250127,105.27,0,0,0.99,0.95
20250120,104.28,0,0,2.96,2.92
20250113,101.32,0,0,4.16,4.28
20250106,97.16,0,0,-2.85,-2.85
20241230,100.01,100.01,100.01,-0.71,-0.7
20241223,100.72,0,0,-2.91,-2.81
20241216,103.63,0,0,-2.41,-2.27
20241209,106.04,0,0,0.46,0.44
20241202,105.58,105.58,105.58,1.68,1.62
20241125,103.9,103.9,103.9,2.54,2.51
20241118,101.36,101.36,101.36,1.48,1.48
20241111,99.88,99.88,99.88,-4.66,-4.46
20241104,104.54,104.54,104.54,1.54,1.5
20241028,103,103,103,3.24,3.25
20241021,99.76,99.76,99.76,-3.76,-3.63
20241014,103.52,103.52,103.52,-2.16,-2.04
20241007,105.68,105.68,105.68,-2.82,-2.6
20240930,108.5,108.5,108.5,12.46,12.97
20240923,96.04,96.04,96.04,4.86,5.33
20240916,91.18,91.18,91.18,-0.95,-1.03
20240909,92.13,92.13,92.13,-0.53,-0.57
20240902,92.66,92.66,92.66,-8.42,-8.33
20240826,101.08,101.08,101.08,4.99,5.19
20240819,96.09,96.09,96.09,0.33,0.34
20240812,95.76,95.76,95.76,-5.95,-5.85
20240805,101.71,101.71,101.71,0.07,0.07
20240729,101.64,101.64,101.64,0.3,0.3
20240722,101.34,101.34,101.34,-4.8,-4.52
20240715,106.14,106.14,106.14,-1.86,-1.72
20240708,108,108,108,-3.6,-3.23
20240701,111.6,111.6,111.6,6.41,6.09
20240624,105.19,105.19,105.19,-1.18,-1.11
20240617,106.37,106.37,106.37,0.51,0.48
20240610,105.86,105.86,105.86,-2.3,-2.13
20240603,108.16,108.16,108.16,-9.25,-7.88
20240527,117.41,117.41,117.41,-2.75,-2.29
20240520,120.16,120.16,120.16,3.7,3.18
20240513,116.46,116.46,116.46,-0.97,-0.83
20240506,117.43,0,0,0.03,0.03
20240429,117.4,117.4,117.4,0.15,0.13
20240422,117.25,117.25,117.25,2.62,2.29
20240415,114.63,114.63,114.63,6.76,6.27
20240408,107.87,107.87,107.87,7.51,7.48
20240401,100.36,100.36,100.36,-3.76,-3.61
20240325,104.12,104.12,104.12,-3.74,-3.47
20240318,107.86,107.86,107.86,-9.52,-8.11
20240311,117.38,117.38,117.38,-0.11,-0.09
20240304,117.49,117.49,117.49,0.47,0.4
20240226,117.02,117.02,117.02,-5.93,-4.82
20240219,122.95,122.95,122.95,-6.66,-5.14
20240212,129.61,129.61,129.61,2.68,2.11
20240205,126.93,126.93,126.93,-6.48,-4.86
20240129,133.41,133.41,133.41,-0.72,-0.54
20240122,134.13,134.13,134.13,4.9,3.79
20240115,129.23,129.23,129.23,-6.44,-4.75
20240108,135.67,135.67,135.67,-6.91,-4.85
20240101,142.58,142.58,142.58,1.69,1.2
20231225,140.89,140.89,140.89,4.8,3.53
20231218,136.09,136.09,136.09,-0.39,-0.29
20231211,136.48,136.48,136.48,2.68,2
20231204,133.8,133.8,133.8,-0.49,-0.36
20231127,134.29,134.29,134.29,-2.46,-1.8
20231120,136.75,136.75,136.75,5.67,4.33
20231113,131.08,131.08,131.08,3.61,2.83
20231106,127.47,127.47,127.47,2.43,1.94
20231030,125.04,125.04,125.04,6.2,5.22
20231023,118.84,118.84,118.84,0.09,0.08
20231016,118.75,118.75,118.75,2.07,1.77
20231009,116.68,116.68,116.68,-2.86,-2.39
20231002,119.54,119.54,119.54,0.9,0.76
20230925,118.64,118.64,118.64,-4.69,-3.8
20230918,123.33,123.33,123.33,0.4,0.33
20230911,122.93,122.93,122.93,4.88,4.13
20230904,118.05,118.05,118.05,2.33,2.01
20230828,115.72,115.72,115.72,1.87,1.64
20230821,113.85,113.85,113.85,8.35,7.91
20230814,105.5,105.5,105.5,1.61,1.55
20230807,103.89,103.89,103.89,-2.94,-2.75
20230731,106.83,106.83,106.83,-7.75,-6.76
20230724,114.58,114.58,114.58,-0.94,-0.81
20230717,115.52,115.52,115.52,4.99,4.51
20230710,110.53,110.53,110.53,-0.85,-0.76
20230703,111.38,111.38,111.38,-1.71,-1.51
20230626,113.09,113.09,113.09,-0.45,-0.4
20230619,113.54,113.54,113.54,-0.47,-0.41
20230612,114.01,114.01,114.01,3.74,3.39
20230605,110.27,110.27,110.27,6.72,6.49
20230529,103.55,103.55,103.55,3.24,3.23
20230522,100.31,100.31,100.31,-8.23,-7.58
20230515,108.54,108.54,108.54,2.58,2.43
20230508,105.96,105.96,105.96,2.34,2.26
20230501,103.62,103.62,103.62,-1.49,-1.42
20230424,105.11,105.11,105.11,-5.3,-4.8
20230417,110.41,110.41,110.41,-9.11,-7.62
20230410,119.52,119.52,119.52,-1.01,-0.84
20230403,120.53,120.53,120.53,-3,-2.43
20230327,123.53,123.53,123.53,0.81,0.66
20230320,122.72,122.72,122.72,-9.13,-6.92
20230313,131.85,131.85,131.85,4.14,3.24
20230306,127.71,127.71,127.71,2.71,2.17
20230227,125,125,125,-4.55,-3.51
20230220,129.55,129.55,129.55,5.93,4.8
20230213,123.62,123.62,123.62,-0.45,-0.36
20230206,124.07,124.07,124.07,-3.53,-2.77
20230130,127.6,127.6,127.6,5.34,4.37
20230123,122.26,122.26,122.26,0,0
20230116,122.26,122.26,122.26,-0.39,-0.32
20230109,122.65,122.65,122.65,5.6,4.78
20230102,117.05,117.05,117.05,0,0
